Validation_Set,Topics,Alpha,Beta,Coherence
BOW Corpus,6,0.31,symmetric,0.4191751893199141
BOW Corpus,6,0.61,0.01,0.4220266792239442
BOW Corpus,6,0.61,0.31,0.4074814244528473
BOW Corpus,6,0.61,0.61,0.36989436186169805
BOW Corpus,6,0.61,0.9099999999999999,0.40328759566518907
BOW Corpus,6,0.61,symmetric,0.39750700703224173
BOW Corpus,6,0.9099999999999999,0.01,0.38959179287525947
BOW Corpus,6,0.9099999999999999,0.31,0.4162728788759374
BOW Corpus,6,0.9099999999999999,0.61,0.3973965482606961
BOW Corpus,6,0.9099999999999999,0.9099999999999999,0.4299132283106499
BOW Corpus,6,0.9099999999999999,symmetric,0.3944741448568838
BOW Corpus,6,symmetric,0.01,0.3942902711731821
BOW Corpus,6,symmetric,0.31,0.4231816423257586
BOW Corpus,6,symmetric,0.61,0.38154735732400374
BOW Corpus,6,symmetric,0.9099999999999999,0.39089179387601086
BOW Corpus,6,symmetric,symmetric,0.4112314357518665
BOW Corpus,6,asymmetric,0.01,0.38849437823958377
BOW Corpus,6,asymmetric,0.31,0.41020175621415844
BOW Corpus,6,asymmetric,0.61,0.38835892771812325
BOW Corpus,6,asymmetric,0.9099999999999999,0.4211084175396575
BOW Corpus,6,asymmetric,symmetric,0.39528785471560585
BOW Corpus,7,0.01,0.01,0.39100186989902735
BOW Corpus,7,0.01,0.31,0.36587518057594354
BOW Corpus,7,0.01,0.61,0.41227607638612584
BOW Corpus,7,0.01,0.9099999999999999,0.38212227813565924
BOW Corpus,7,0.01,symmetric,0.36588562774523614
BOW Corpus,7,0.31,0.01,0.42696829610890136
BOW Corpus,7,0.31,0.31,0.40396358196378074
BOW Corpus,7,0.31,0.61,0.41439479432771004
BOW Corpus,7,0.31,0.9099999999999999,0.39377150111707593
BOW Corpus,7,0.31,symmetric,0.414496280127188
BOW Corpus,7,0.61,0.01,0.3862050736673331
BOW Corpus,7,0.61,0.31,0.4240890758882606
BOW Corpus,7,0.61,0.61,0.4100089084449458
BOW Corpus,7,0.61,0.9099999999999999,0.40967477911741385
BOW Corpus,7,0.61,symmetric,0.42259435473928464
BOW Corpus,7,0.9099999999999999,0.01,0.40533575184791726
BOW Corpus,7,0.9099999999999999,0.31,0.4064053798235134
BOW Corpus,7,0.9099999999999999,0.61,0.42177000470713033
BOW Corpus,7,0.9099999999999999,0.9099999999999999,0.4160607322328646
BOW Corpus,7,0.9099999999999999,symmetric,0.39201024693675696
BOW Corpus,7,symmetric,0.01,0.41299208340790555
BOW Corpus,7,symmetric,0.31,0.37398815204558294
BOW Corpus,7,symmetric,0.61,0.38470016943240914
BOW Corpus,7,symmetric,0.9099999999999999,0.38178594904647684
BOW Corpus,7,symmetric,symmetric,0.39648688374903057
BOW Corpus,7,asymmetric,0.01,0.377169749337138
BOW Corpus,7,asymmetric,0.31,0.4067840920611822
BOW Corpus,7,asymmetric,0.61,0.41119381670142785
BOW Corpus,7,asymmetric,0.9099999999999999,0.4009654882594701
BOW Corpus,7,asymmetric,symmetric,0.392621211099827
BOW Corpus,8,0.01,0.01,0.38850005995800446
BOW Corpus,8,0.01,0.31,0.3929842978487671
BOW Corpus,8,0.01,0.61,0.4029509633366115
BOW Corpus,8,0.01,0.9099999999999999,0.402881010242511
BOW Corpus,8,0.01,symmetric,0.4063842621420225
BOW Corpus,8,0.31,0.01,0.4098144330148319
BOW Corpus,8,0.31,0.31,0.441081322568623
BOW Corpus,8,0.31,0.61,0.40520398346013964
BOW Corpus,8,0.31,0.9099999999999999,0.4291526660482258
BOW Corpus,8,0.31,symmetric,0.41604950706276667
BOW Corpus,8,0.61,0.01,0.42458699635034536
BOW Corpus,8,0.61,0.31,0.38843112551141196
BOW Corpus,8,0.61,0.61,0.38322681041221884
BOW Corpus,8,0.61,0.9099999999999999,0.41885016350491255
BOW Corpus,8,0.61,symmetric,0.4094917667261909
BOW Corpus,8,0.9099999999999999,0.01,0.38817103337827463
BOW Corpus,8,0.9099999999999999,0.31,0.4012330789811884
BOW Corpus,8,0.9099999999999999,0.61,0.41745576504122694
BOW Corpus,8,0.9099999999999999,0.9099999999999999,0.40502494803425615
BOW Corpus,8,0.9099999999999999,symmetric,0.4099472543328506
BOW Corpus,8,symmetric,0.01,0.41349823347968473
BOW Corpus,8,symmetric,0.31,0.38636759726254527
BOW Corpus,8,symmetric,0.61,0.4010957804488933
BOW Corpus,8,symmetric,0.9099999999999999,0.4106753994298563
BOW Corpus,8,symmetric,symmetric,0.40880993394329196
BOW Corpus,8,asymmetric,0.01,0.4038819143277158
BOW Corpus,8,asymmetric,0.31,0.39716377647195267
BOW Corpus,8,asymmetric,0.61,0.4293570952064883
BOW Corpus,8,asymmetric,0.9099999999999999,0.43850468497126094
BOW Corpus,8,asymmetric,symmetric,0.42181145291324973
BOW Corpus,9,0.01,0.01,0.40110485551374325
BOW Corpus,9,0.01,0.31,0.39724675025083506
BOW Corpus,9,0.01,0.61,0.4052628612908328
BOW Corpus,9,0.01,0.9099999999999999,0.37971359511699576
BOW Corpus,9,0.01,symmetric,0.3756055220340051
BOW Corpus,9,0.31,0.01,0.41782607522426746
BOW Corpus,9,0.31,0.31,0.4230457044578676
BOW Corpus,9,0.31,0.61,0.42379190794569266
BOW Corpus,9,0.31,0.9099999999999999,0.3864327963314718
BOW Corpus,9,0.31,symmetric,0.4307193070596067
BOW Corpus,9,0.61,0.01,0.40218662801054045
BOW Corpus,9,0.61,0.31,0.39401336826543754
BOW Corpus,9,0.61,0.61,0.3989869517429649
BOW Corpus,9,0.61,0.9099999999999999,0.3912785269340945
BOW Corpus,9,0.61,symmetric,0.40413634276704635
BOW Corpus,9,0.9099999999999999,0.01,0.4198203226306365
BOW Corpus,9,0.9099999999999999,0.31,0.4049402886097989
BOW Corpus,9,0.9099999999999999,0.61,0.4201538498130515
BOW Corpus,9,0.9099999999999999,0.9099999999999999,0.39537749727625343
BOW Corpus,9,0.9099999999999999,symmetric,0.4121201391204402
BOW Corpus,9,symmetric,0.01,0.3942348778750839
BOW Corpus,9,symmetric,0.31,0.3967233942020342
BOW Corpus,9,symmetric,0.61,0.41079841094736647
BOW Corpus,9,symmetric,0.9099999999999999,0.424285537815248
BOW Corpus,9,symmetric,symmetric,0.40938214493290337
BOW Corpus,9,asymmetric,0.01,0.400694609060777
BOW Corpus,9,asymmetric,0.31,0.4388604586982676
BOW Corpus,9,asymmetric,0.61,0.40788831086177724
BOW Corpus,9,asymmetric,0.9099999999999999,0.4245488315439365
BOW Corpus,9,asymmetric,symmetric,0.4103392361225016
BOW Corpus,10,0.01,0.01,0.3984640170749085
BOW Corpus,10,0.01,0.31,0.3936622914139173
BOW Corpus,10,0.01,0.61,0.402590610710163
BOW Corpus,10,0.01,0.9099999999999999,0.39477785132107546
BOW Corpus,10,0.01,symmetric,0.4110641319305198
BOW Corpus,10,0.31,0.01,0.4422906701561324
BOW Corpus,10,0.31,0.31,0.4426314572130889
BOW Corpus,10,0.31,0.61,0.43141378028414534
BOW Corpus,10,0.31,0.9099999999999999,0.4577570587670524
BOW Corpus,10,0.31,symmetric,0.41291605751545635
BOW Corpus,10,0.61,0.01,0.3995099870781361
BOW Corpus,10,0.61,0.31,0.3956045551767323
BOW Corpus,10,0.61,0.61,0.39589877438331766
BOW Corpus,10,0.61,0.9099999999999999,0.40099599551720955
BOW Corpus,10,0.61,symmetric,0.4050010302367686
BOW Corpus,10,0.9099999999999999,0.01,0.3883325819300926
BOW Corpus,10,0.9099999999999999,0.31,0.417816402019813
BOW Corpus,10,0.9099999999999999,0.61,0.40628695353120714
BOW Corpus,10,0.9099999999999999,0.9099999999999999,0.3922087816913483
